"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Interprovincial and intraprovincial migrants, by census metropolitan area and census agglomeration of origin and destination, 2016 boundaries",17100141,,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014101",1;2;3;4;5;6,"CURRENT - a cube available to the public and that is current",Annual,2016-01-01,2018-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,"Geography of origin",,
2,"Geography of destination",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"Cranbrook (CA), British Columbia",[905],142,,,,
1,"Nelson (CA), British Columbia",[907],143,,,,
1,"Penticton (CA), British Columbia",[913],144,,,,
1,"Kelowna (CMA), British Columbia",[915],145,,,,
1,"Vernon (CA), British Columbia",[918],146,,,,
1,"Salmon Arm (CA), British Columbia",[920],147,,,,
1,"Kamloops (CA), British Columbia",[925],148,,,,
1,"Chilliwack (CA), British Columbia",[930],149,,,,
1,"Abbotsford - Mission (CMA), British Columbia",[932],150,,,,
1,"Vancouver (CMA), British Columbia",[933],151,,,,
1,"Squamish (CA), British Columbia",[934],152,,,,
1,"Victoria (CMA), British Columbia",[935],153,,,,
1,"Duncan (CA), British Columbia",[937],154,,,,
1,"Nanaimo (CA), British Columbia",[938],155,,,,
1,"Parksville (CA), British Columbia",[939],156,,,,
1,"Port Alberni (CA), British Columbia",[940],157,,,,
1,"Courtenay (CA), British Columbia",[943],158,,,,
1,"Campbell River (CA), British Columbia",[944],159,,,,
1,"Powell River (CA), British Columbia",[945],160,,,,
1,"Williams Lake (CA), British Columbia",[950],161,,,,
1,"Quesnel (CA), British Columbia",[952],162,,,,
1,"Prince Rupert (CA), British Columbia",[955],163,,,,
1,"Terrace (CA), British Columbia",[965],164,,,,
1,"Prince George (CA), British Columbia",[970],165,,,,
1,"Dawson Creek (CA), British Columbia",[975],166,,,,
1,"Fort St. John (CA), British Columbia",[977],167,,,,
1,"Area outside census metropolitan areas and census agglomerations, British Columbia",,168,,,,
1,"Whitehorse (CA), Yukon",[990],169,,,,
1,"Area outside census metropolitan areas and census agglomerations, Yukon",,170,,,,
1,"Yellowknife (CA), Northwest Territoires",[995],171,,,,
1,"Area outside census metropolitan areas and census agglomerations, Northwest Territories",,172,,,,
1,"Area outside census metropolitan areas and census agglomerations, Nunavut",,173,,,,
2,"St. John's (CMA), Newfoundland and Labrador",,1,,,,
2,"Bay Roberts (CA), Newfoundland and Labrador",,2,,,,
2,"Grand Falls-Windsor (CA), Newfoundland and Labrador",,3,,,,
2,"Gander (CA), Newfoundland and Labrador",,4,,,,
2,"Corner Brook (CA), Newfoundland and Labrador",,5,,,,
2,"Area outside census metropolitan areas and census agglomerations, Newfoundland and Labrador",,6,,,,
2,"Charlottetown (CA), Prince Edward Island",,7,,,,
2,"Summerside (CA), Prince Edward Island",,8,,,,
2,"Area outside census metropolitan areas and census agglomerations, Prince Edward Island",,9,,,,
2,"Halifax (CMA), Nova Scotia",,10,,,,
2,"Kentville (CA), Nova Scotia",,11,,,,
2,"Truro (CA), Nova Scotia",,12,,,,
2,"New Glasgow (CA), Nova Scotia",,13,,,,
2,"Cape Breton (CA), Nova Scotia",,14,,,,
2,"Area outside census metropolitan areas and census agglomerations, Nova Scotia",,15,,,,
2,"Moncton (CMA), New Brunswick",,16,,,,
2,"Saint John (CMA), New Brunswick",,17,,,,
2,"Fredericton (CA), New Brunswick",,18,,,,
2,"Bathurst (CA), New Brunswick",,19,,,,
2,"Miramichi (CA), New Brunswick",,20,,,,
2,"Edmundston (CA), New Brunswick",,21,,,,
2,"Area outside census metropolitan areas and census agglomerations, New Brunswick",,22,,,,
2,"Campbellton (CA), New Brunswick/Quebec",,23,,,,
2,"Campbellton (CA), New Brunswick part, New Brunswick",,24,23,,,
2,"Campbellton (CA), Quebec part, Quebec",,25,23,,,
2,"Matane (CA), Quebec",,26,,,,
2,"Rimouski (CA), Quebec",,27,,,,
2,"Rivière-du-Loup (CA), Quebec",,28,,,,
2,"Baie-Comeau (CA), Quebec",,29,,,,
2,"Saguenay (CMA), Quebec",,30,,,,
2,"Alma (CA), Quebec",,31,,,,
2,"Dolbeau-Mistassini (CA), Quebec",,32,,,,
2,"Sept-Îles (CA), Quebec",,33,,,,
2,"Québec (CMA), Quebec",,34,,,,
2,"Sainte-Marie (CA), Quebec",,35,,,,
2,"Saint-Georges (CA), Quebec",,36,,,,
2,"Thetford Mines (CA), Quebec",,37,,,,
2,"Sherbrooke (CMA), Quebec",,38,,,,
2,"Cowansville (CA), Quebec",,39,,,,
2,"Victoriaville (CA), Quebec",,40,,,,
2,"Trois-Rivières (CMA), Quebec",,41,,,,
2,"Shawinigan (CA), Quebec",,42,,,,
2,"Drummondville (CA), Quebec",,43,,,,
2,"Granby (CA), Quebec",,44,,,,
2,"Saint-Hyacinthe (CA), Quebec",,45,,,,
2,"Sorel-Tracy (CA), Quebec",,46,,,,
2,"Joliette (CA), Quebec",,47,,,,
2,"Montréal (CMA), Quebec",,48,,,,
2,"Salaberry-de-Valleyfield (CA), Quebec",,49,,,,
2,"Lachute (CA), Quebec",,50,,,,
2,"Val-d'Or (CA), Quebec",,51,,,,
2,"Rouyn-Noranda (CA), Quebec",,52,,,,
2,"Area outside census metropolitan areas and census agglomerations, Quebec",,53,,,,
2,"Hawkesbury (CA), Ontario/Quebec",,54,,,,
2,"Hawkesbury (CA), Ontario part, Ontario",,55,54,,,
2,"Hawkesbury (CA), Quebec part, Quebec",,56,54,,,
2,"Ottawa - Gatineau (CMA), Ontario/Quebec",,57,,,,
2,"Ottawa - Gatineau (CMA), Ontario part, Ontario",,58,57,,,
2,"Ottawa - Gatineau (CMA), Quebec part, Quebec",,59,57,,,
2,"Cornwall (CA), Ontario",,60,,,,
2,"Arnprior (CA), Ontario",,61,,,,
2,"Carleton Place (CA), Ontario",,62,,,,
2,"Brockville (CA), Ontario",,63,,,,
2,"Pembroke (CA), Ontario",,64,,,,
2,"Petawawa (CA), Ontario",,65,,,,
2,"Kingston (CMA), Ontario",,66,,,,
2,"Belleville (CMA), Ontario",,67,,,,
2,"Cobourg (CA), Ontario",,68,,,,
2,"Port Hope (CA), Ontario",,69,,,,
2,"Peterborough (CMA), Ontario",,70,,,,
2,"Kawartha Lakes (CA), Ontario",,71,,,,
2,"Centre Wellington (CA), Ontario",,72,,,,
2,"Oshawa (CMA), Ontario",,73,,,,
2,"Ingersoll (CA), Ontario",,74,,,,
2,"Toronto (CMA), Ontario",,75,,,,
2,"Hamilton (CMA), Ontario",,76,,,,
2,"St. Catharines - Niagara (CMA), Ontario",,77,,,,
2,"Kitchener - Cambridge - Waterloo (CMA), Ontario",,78,,,,
2,"Brantford (CMA), Ontario",,79,,,,
2,"Woodstock (CA), Ontario",,80,,,,
2,"Tillsonburg (CA), Ontario",,81,,,,
2,"Norfolk (CA), Ontario",,82,,,,
2,"Guelph (CMA), Ontario",,83,,,,
2,"Stratford (CA), Ontario",,84,,,,
2,"London (CMA), Ontario",,85,,,,
2,"Chatham-Kent (CA), Ontario",,86,,,,
2,"Leamington (CA), Ontario",,87,,,,
2,"Windsor (CMA), Ontario",,88,,,,
2,"Sarnia (CA), Ontario",,89,,,,
2,"Wasaga Beach (CA), Ontario",,90,,,,
2,"Owen Sound (CA), Ontario",,91,,,,
2,"Collingwood (CA), Ontario",,92,,,,
2,"Barrie (CMA), Ontario",,93,,,,
2,"Orillia (CA), Ontario",,94,,,,
2,"Midland (CA), Ontario",,95,,,,
2,"North Bay (CA), Ontario",,96,,,,
2,"Greater Sudbury (CMA), Ontario",,97,,,,
2,"Elliot Lake (CA), Ontario",,98,,,,
2,"Timmins (CA), Ontario",,99,,,,
2,"Sault Ste. Marie (CA), Ontario",,100,,,,
2,"Thunder Bay (CMA), Ontario",,101,,,,
2,"Kenora (CA), Ontario",,102,,,,
2,"Area outside census metropolitan areas and census agglomerations, Ontario",,103,,,,
2,"Winnipeg (CMA), Manitoba",,104,,,,
2,"Winkler (CA), Manitoba",,105,,,,
2,"Steinbach (CA), Manitoba",,106,,,,
2,"Portage la Prairie (CA), Manitoba",,107,,,,
2,"Brandon (CA), Manitoba",,108,,,,
2,"Thompson (CA), Manitoba",,109,,,,
2,"Area outside census metropolitan areas and census agglomerations, Manitoba",,110,,,,
2,"Regina (CMA), Saskatchewan",,111,,,,
2,"Yorkton (CA), Saskatchewan",,112,,,,
2,"Moose Jaw (CA), Saskatchewan",,113,,,,
2,"Swift Current (CA), Saskatchewan",,114,,,,
2,"Saskatoon (CMA), Saskatchewan",,115,,,,
2,"North Battleford (CA), Saskatchewan",,116,,,,
2,"Prince Albert (CA), Saskatchewan",,117,,,,
2,"Estevan (CA), Saskatchewan",,118,,,,
2,"Weyburn (CA), Saskatchewan",,119,,,,
2,"Area outside census metropolitan areas and census agglomerations, Saskatchewan",,120,,,,
2,"Lloydminster (CA), Alberta/Saskatchewan",,121,,,,
2,"Lloydminster (CA), Alberta part, Alberta",,122,121,,,
2,"Lloydminster (CA), Saskatchewan part, Saskatchewan",,123,121,,,
2,"Medicine Hat (CA), Alberta",,124,,,,
2,"Brooks (CA), Alberta",,125,,,,
2,"Lethbridge (CMA), Alberta",,126,,,,
2,"Okotoks (CA), Alberta",,127,,,,
2,"High River (CA), Alberta",,128,,,,
2,"Calgary (CMA), Alberta",,129,,,,
2,"Strathmore (CA), Alberta",,130,,,,
2,"Canmore (CA), Alberta",,131,,,,
2,"Red Deer (CA), Alberta",,132,,,,
2,"Sylvan Lake (CA), Alberta",,133,,,,
2,"Lacombe (CA), Alberta",,134,,,,
2,"Camrose (CA), Alberta",,135,,,,
2,"Edmonton (CMA), Alberta",,136,,,,
2,"Cold Lake (CA), Alberta",,137,,,,
2,"Grande Prairie (CA), Alberta",,138,,,,
2,"Wood Buffalo (CA), Alberta",,139,,,,
2,"Wetaskiwin (CA), Alberta",,140,,,,
2,"Area outside census metropolitan areas and census agglomerations, Alberta",,141,,,,
2,"Cranbrook (CA), British Columbia",,142,,,,
2,"Nelson (CA), British Columbia",,143,,,,
2,"Penticton (CA), British Columbia",,144,,,,
2,"Kelowna (CMA), British Columbia",,145,,,,
2,"Vernon (CA), British Columbia",,146,,,,
2,"Salmon Arm (CA), British Columbia",,147,,,,
2,"Kamloops (CA), British Columbia",,148,,,,
2,"Chilliwack (CA), British Columbia",,149,,,,
2,"Abbotsford - Mission (CMA), British Columbia",,150,,,,
2,"Vancouver (CMA), British Columbia",,151,,,,
2,"Squamish (CA), British Columbia",,152,,,,
2,"Victoria (CMA), British Columbia",,153,,,,
2,"Duncan (CA), British Columbia",,154,,,,
2,"Nanaimo (CA), British Columbia",,155,,,,
2,"Parksville (CA), British Columbia",,156,,,,
2,"Port Alberni (CA), British Columbia",,157,,,,
2,"Courtenay (CA), British Columbia",,158,,,,
2,"Campbell River (CA), British Columbia",,159,,,,
2,"Powell River (CA), British Columbia",,160,,,,
2,"Williams Lake (CA), British Columbia",,161,,,,
2,"Quesnel (CA), British Columbia",,162,,,,
2,"Prince Rupert (CA), British Columbia",,163,,,,
2,"Terrace (CA), British Columbia",,164,,,,
2,"Prince George (CA), British Columbia",,165,,,,
2,"Dawson Creek (CA), British Columbia",,166,,,,
2,"Fort St. John (CA), British Columbia",,167,,,,
2,"Area outside census metropolitan areas and census agglomerations, British Columbia",,168,,,,
2,"Whitehorse (CA), Yukon",,169,,,,
2,"Area outside census metropolitan areas and census agglomerations, Yukon",,170,,,,
2,"Yellowknife (CA), Northwest Territoires",,171,,,,
2,"Area outside census metropolitan areas and census agglomerations, Northwest Territories",,172,,,,
2,"Area outside census metropolitan areas and census agglomerations, Nunavut",,173,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
3608,"Annual Demographic Estimates : Subprovincial Areas"

"Subject Code","Subject Name"
17,"Population and demography"

"Note ID",Note
1,"Population estimates based on the Standard Geographical Classification (SGC) 2016 as delineated in the 2016 Census."
2,"A census metropolitan area (CMA) or a census agglomeration (CA) is formed by one or more adjacent municipalities centred on a population centre (known as the core). A CMA must have a total population of at least 100,000 of which 50,000 or more must live in the core based on adjusted data from the previous Census of Population Program. A CA must have a core population of at least 10,000 also based on data from the previous Census of Population Program. To be included in the CMA or CA, other adjacent municipalities must have a high degree of integration with the core, as measured by commuting flows derived from data on place of work from the previous Census Program. If the population of the core of a CA falls below 10,000, the CA is retired from the next census. However, once an area becomes a CMA, it is retained as a CMA even if its total population declines below 100,000 or the population of its core falls below 50,000. All areas inside the CMA or CA that are not population centres are rural areas.  When a CA has a core of at least 50,000, based on data from the previous Census of Population, it is subdivided into census tracts. Census tracts are maintained for the CA even if the population of the core subsequently falls below 50,000. All CMAs are subdivided into census tracts."
3,"An area outside census metropolitan areas and census agglomerations is made up of all areas (within a province or territory) unallocated to a census metropolitan area (CMA) or census agglomeration (CA)."
4,"The estimates for interprovincial and intraprovincial migrants are final. Intraprovincial migrant data for the province of Quebec are taken from the estimates of ""l'Institut de la statistique du Québec"" (ISQ)."
5,"This table replaces table 17100087."
6,"When adding up migrant flows in this table, small differences may be observed when comparing them with the number of migrants from table 17000136. Those differences are expected and are the results of minor edits necessary to ensure the consistency of the cohort component formula."

"Correction ID","Correction Date","Correction Note"


